Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,443.576996,462.452606,441.479706,462.452606,343.811035,6007810
2018-03-20,458.258026,489.717377,455.112091,489.717377,364.081085,10227408
2018-03-21,492.338989,512.263245,491.814667,511.738922,380.453033,9095392
2018-03-22,524.322693,537.955078,520.128113,531.663208,395.265808,10405452
2018-03-23,513.311890,529.565918,497.057892,507.544342,377.334625,7919796
2018-03-26,518.030823,520.652405,490.766022,498.106537,370.318024,6028570
2018-03-27,512.787598,532.711853,507.544342,527.468628,392.147308,6716796
2018-03-28,523.274048,529.565918,512.263245,519.079468,385.910400,5037282
2018-03-29,532.711853,550.538818,526.419983,545.295593,405.400818,4272497
2018-03-30,557.879333,594.581909,545.295593,547.392883,406.960052,5978241
2018-04-02,557.879333,564.171204,524.322693,527.468628,392.147308,4954823
2018-04-03,519.079468,541.101013,515.933533,535.857788,398.384247,4746955
2018-04-09,537.955078,557.879333,529.565918,557.879333,414.756195,5062604
2018-04-10,567.317139,586.192749,553.684753,571.511719,424.891235,8671852
2018-04-11,585.144104,594.581909,567.317139,570.463074,424.111603,5363992
2018-04-12,570.463074,586.192749,563.122559,578.852234,430.348511,4374394
2018-04-13,589.338684,597.727844,583.046814,587.241394,436.585480,4796148
2018-04-16,602.971069,645.965515,598.776489,645.965515,480.243988,7425708
2018-04-17,670.084412,673.230347,627.089905,633.381775,470.888580,12729500
2018-04-18,633.381775,696.300537,633.381775,696.300537,517.665649,9579282
2018-04-19,696.300537,738.246338,681.619507,681.619507,506.751068,13787668
2018-04-20,660.646606,695.251892,644.916870,652.257385,484.921692,10234172
2018-04-23,674.278992,717.273438,660.646606,717.273438,533.257996,12246100
2018-04-24,715.176147,715.176147,647.014160,670.084412,498.175201,16021718
2018-04-25,660.646606,677.424927,612.408875,612.408875,455.296234,18801202
2018-04-26,629.187195,651.208740,613.457520,621.846680,462.312836,14591289
2018-04-27,621.846680,621.846680,621.846680,621.846680,462.312836,0
2018-04-30,653.306030,680.570862,644.916870,657.500610,488.819794,8333589
2018-05-02,666.938477,705.738342,664.841187,686.862732,510.649139,9491770
2018-05-03,678.473572,693.154602,672.181702,684.765442,509.089783,7559744
2018-05-04,685.814087,716.224792,685.814087,706.786987,525.461853,9030626
2018-05-07,734.051758,777.046204,734.051758,777.046204,577.696167,8631588
2018-05-08,792.775879,813.748779,742.440918,752.927368,559.765015,13704469
2018-05-09,768.657043,823.186584,758.170593,806.408264,599.525391,11404772
2018-05-10,826.332520,886.105347,814.797424,886.105347,658.776306,15389023
